"epiunitID","serotype","Longitude","Latitude","Date"
22608,"A",42.209339,40.037681,2007-02-15
12858,"O",30.925424,39.025107,2007-02-16
26927,"O",39.756655,38.159198,2007-02-17
357,"O",30.045464,40.776057,2007-02-18
52096,"O",30.045464,40.776057,2007-02-18
10799,"O",31.673141,40.720731,2007-02-19
34630,"A",31.673141,40.720731,2007-02-19
34758,"O",29.293208,38.380439,2007-02-19
22119,"O",28.437216,37.964735,2007-02-19
1372,"O",33.951223,40.724058,2007-02-20
40770,"A",34.445766,40.794754,2007-02-20
4827,"O",34.389606,39.585605,2007-02-20
46450,"O",38.193982,38.561741,2007-02-21
47672,"O",37.777923,40.820939,2007-02-21
4160,"O",27.244098,41.796791,2007-02-22
31849,"A",32.169318,39.514738,2007-02-22
26440,"A",32.500737,39.953958,2007-02-22
32499,"O",33.17993,37.13511,2007-02-22
53182,"O",39.756655,38.159198,2007-02-24
43054,"O",32.235002,38.353674,2007-02-24
28377,"O",33.455038,40.158544,2007-02-25
7602,"O",38.261284,37.708417,2007-02-26
42684,"A",31.228507,37.719584,2007-02-26
11288,"O",31.938845,38.227524,2007-02-26
22811,"O",37.270549,41.026348,2007-02-26
1719,"O",36.348905,37.055517,2007-02-26
19498,"O",43.260383,40.622435,2007-02-27
2227,"O",38.444403,38.318497,2007-02-27
16898,"O",34.566635,37.855864,2007-02-27
40379,"O",41.719437,39.354783,2007-02-28
29288,"O",30.250537,38.139634,2007-02-28
9425,"O",28.912885,37.898364,2007-03-01
11122,"O",35.897315,40.608305,2007-03-01
26713,"O",38.195494,40.746802,2007-03-02
21644,"O",26.991325,38.48665,2007-03-02
53177,"O",41.964174,37.346454,2007-03-02
23390,"O",36.600463,37.239839,2007-03-05
1141,"O",30.601775,37.802071,2007-03-06
15596,"O",37.922782,37.794751,2007-03-07
29545,"O",40.219332,38.011024,2007-03-07
16782,"O",33.528296,39.673729,2007-03-07
33838,"O",37.538208,38.572868,2007-03-08
26536,"O",42.594821,37.290464,2007-03-08
3045,"O",42.594821,37.290464,2007-03-08
24811,"O",36.348905,37.055517,2007-03-08
15072,"O",29.950545,40.183737,2007-03-09
32356,"O",35.648362,38.676584,2007-03-09
6703,"O",37.724847,41.032737,2007-03-09
6727,"O",30.586076,39.768938,2007-03-10
26011,"O",30.910828,37.822051,2007-03-10
37415,"O",30.250525,37.878429,2007-03-11
12238,"O",32.649665,40.143528,2007-03-11
39750,"A",29.624295,38.487999,2007-03-11
